iter	Passed	Remaining
0	308	61470
1	346	34302
2	388	25490
3	421	20634
4	453	17697
5	490	15852
6	521	14379
7	553	13278
8	588	12480
9	620	11784
10	654	11250
11	682	10688
12	710	10222
13	736	9788
14	777	9583
15	802	9225
16	830	8938
17	855	8653
18	882	8406
19	912	8209
20	942	8030
21	969	7842
22	1004	7733
23	1039	7623
24	1065	7458
25	1092	7309
26	1119	7174
27	1148	7055
28	1175	6929
29	1199	6798
30	1228	6695
31	1306	6857
32	1383	6999
33	1544	7539
34	1622	7649
35	1666	7589
36	1706	7515
37	1730	7378
38	1759	7262
39	1788	7154
40	1815	7041
41	1846	6945
42	1874	6845
43	1904	6753
44	1927	6638
45	1955	6546
46	1984	6461
47	2010	6367
48	2040	6287
49	2070	6210
50	2094	6118
51	2119	6033
52	2147	5955
53	2175	5882
54	2204	5811
55	2232	5739
56	2261	5673
57	2304	5642
58	2329	5568
59	2356	5498
60	2384	5434
61	2414	5375
62	2439	5304
63	2464	5236
64	2490	5171
65	2518	5113
66	2549	5060
67	2578	5004
68	2601	4939
69	2630	4885
70	2660	4834
71	2687	4777
72	2713	4719
73	2738	4662
74	2765	4609
75	2789	4550
76	2814	4495
77	2836	4436
78	2866	4389
79	2895	4343
80	2920	4289
81	2948	4242
82	2976	4195
83	3000	4143
84	3029	4098
85	3053	4047
86	3085	4007
87	3123	3974
88	3155	3935
89	3180	3886
90	3207	3842
91	3232	3795
92	3259	3750
93	3284	3703
94	3314	3663
95	3344	3622
96	3372	3580
97	3397	3536
98	3423	3492
99	3451	3451
100	3481	3412
101	3508	3370
102	3540	3333
103	3566	3291
104	3590	3248
105	3615	3205
106	3641	3165
107	3667	3124
108	3693	3083
109	3720	3044
110	3746	3003
111	3770	2962
112	3796	2922
113	3825	2885
114	3847	2843
115	3875	2806
116	3899	2766
117	3924	2727
118	3947	2686
119	3972	2648
120	3995	2608
121	4020	2570
122	4048	2534
123	4073	2496
124	4101	2461
125	4128	2424
126	4156	2389
127	4183	2353
128	4208	2316
129	4236	2281
130	4265	2246
131	4290	2210
132	4320	2176
133	4343	2139
134	4373	2105
135	4400	2070
136	4424	2034
137	4452	2000
138	4476	1964
139	4503	1930
140	4533	1897
141	4559	1862
142	4586	1828
143	4615	1794
144	4637	1759
145	4667	1726
146	4692	1691
147	4717	1657
148	4741	1623
149	4767	1589
150	4792	1555
151	4817	1521
152	4847	1489
153	4872	1455
154	4897	1421
155	4922	1388
156	4948	1355
157	4970	1321
158	4997	1288
159	5019	1254
160	5046	1222
161	5068	1188
162	5096	1156
163	5125	1125
164	5148	1092
165	5174	1059
166	5198	1027
167	5224	995
168	5248	962
169	5274	930
170	5297	898
171	5324	866
172	5349	834
173	5375	803
174	5400	771
175	5436	741
176	5467	710
177	5496	679
178	5520	647
179	5545	616
180	5575	585
181	5600	553
182	5627	522
183	5657	491
184	5682	460
185	5707	429
186	5735	398
187	5762	367
188	5792	337
189	5819	306
190	5845	275
191	5875	244
192	5902	214
193	5928	183
194	5952	152
195	5981	122
196	6004	91
197	6027	60
198	6054	30
199	6080	0
